minimum_size,minimum_distance,threshold_relative,mae,rmse,median_absolute_error,mean_signed_error,mean_absolute_percentage_error,within_one_count_fraction,within_three_count_fraction,pearson_correlation
5,4,0.1,10.17910447761194,19.786170354907814,5.0,8.925373134328359,188.74751079022263,0.3582089552238806,0.43283582089552236,0.9197781420605383
5,4,0.05,10.253731343283581,19.800874396492485,5.0,9.0,189.042912046252,0.3582089552238806,0.417910447761194,0.9198655096615925
20,3,0.1,14.253731343283581,25.251865602721523,6.0,11.597014925373134,210.09342019101084,0.16417910447761194,0.3283582089552239,0.9034965113439273
20,3,0.05,14.328358208955224,25.30353051881136,6.0,11.701492537313433,210.4078033966339,0.16417910447761194,0.3283582089552239,0.9034723463694466
10,3,0.1,14.716417910447761,25.837609981425118,6.0,13.880597014925373,216.52705941059227,0.16417910447761194,0.3582089552238806,0.9157360543602148
30,3,0.1,14.73134328358209,25.891564926214063,6.0,10.194029850746269,207.52108270853142,0.208955223880597,0.34328358208955223,0.8858199930203015
30,3,0.05,14.805970149253731,25.93735276886823,6.0,10.26865671641791,207.8061792081496,0.208955223880597,0.34328358208955223,0.8855673176374641
10,3,0.05,14.850746268656716,25.91403699605362,7.0,14.044776119402986,217.06451205164677,0.16417910447761194,0.3582089552238806,0.9157418709611422
5,3,0.1,17.149253731343283,29.764498536584288,7.0,16.492537313432837,225.23269170711626,0.16417910447761194,0.3283582089552239,0.9014625201166826
5,3,0.05,17.328358208955223,29.887600384045854,7.0,16.73134328358209,226.00711309918694,0.1791044776119403,0.34328358208955223,0.9011610255912077
