sample_id,width,height,ground_truth_foreground_pixels,predicted_foreground_pixels,true_positive,true_negative,false_positive,false_negative,dice,iou,precision,recall,specificity,balanced_accuracy,pixel_accuracy,mcc,binary_cross_entropy,foreground_area_error_percent
d7ec8003735996458b56ccb8ae34d080eb2a6adabef931323239632515b4b220,256,256,645,628,584,64847,44,61,0.9175176747839748,0.8476052249637155,0.9299363057324841,0.9054263565891473,0.9993219398683947,0.952374148228771,0.9983978271484375,0.9167922411763725,0.005939013162239026,2.635658914728682
1e488c42eb1a54a3e8412b1f12cde530f950f238d71078f2ede6a85a02168e1f,320,256,15808,16756,11288,60644,5468,4520,0.6932809237194448,0.5305508554239519,0.6736691334447362,0.7140688259109311,0.9172918683446273,0.8156803471277791,0.878076171875,0.617685077078218,0.2546086091593963,5.996963562753036
942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,256,256,11035,12526,10709,52684,1817,326,0.9090446076142779,0.833255524431995,0.8549417212198627,0.9704576347983688,0.9666611621805105,0.9685593984894396,0.9673004150390625,0.8918625902984882,0.08652211580744622,13.51155414589941
2dec81a678ddcac2b110acffe82427d857695180bd841e3f9736a554acf832af,696,520,41311,41879,40667,319397,1212,644,0.9776896261569901,0.9563530324765421,0.9710594808854079,0.984410931713103,0.9962196943941062,0.9903153130536047,0.9948717948717949,0.9748217275059601,0.013037963486628558,1.3749364576020915
d1b173875e2261f55014bd27bd7174b9ae1c769338c1b31b5d737e9e60175993,256,256,1381,1420,1371,64106,49,10,0.9789360942520529,0.9587412587412587,0.9654929577464789,0.9927588703837799,0.9992362247681397,0.9959975475759597,0.9990997314453125,0.978575270320298,0.00255533804248826,2.8240405503258508
b1e3aeb0c56261c17eb71c747d116057b8da7e8c8a6845bdc01b2b3ee2299229,256,256,2552,2277,2185,62892,92,367,0.9049492648581486,0.8263993948562783,0.9595959595959596,0.8561912225705329,0.9985393115711927,0.9273652670708628,0.9929962158203125,0.9029048723829322,0.02689559189422907,10.775862068965518
10328b822b836e67b547b4144e0b7eb43747c114ce4cacd8b540648892945b00,256,256,3973,3984,3803,61382,181,170,0.9558878974487872,0.9155031295137217,0.9545682730923695,0.9572111754341808,0.9970599223559605,0.9771355488950706,0.9946441650390625,0.9530379424779196,0.015884385083906744,0.27686886483765416
619429303c1af7540916509fe7900cf483eba4391b06aac87ff7f66ca1ab6483,256,256,8980,5567,5400,56389,167,3580,0.7424211177562384,0.5903574942604133,0.9700017962996228,0.6013363028953229,0.9970471744819294,0.7991917386886261,0.9428253173828125,0.7380454214205134,0.20866432873194862,38.00668151447662
ecb36c90cdd20245d89173c106f3c6a2d124d07bdea0ae202fb1efa49b0cd169,696,520,80280,78350,76673,279963,1677,3607,0.96668978125197,0.9355271666849689,0.9785960433950224,0.9550697558545093,0.9940455901150405,0.9745576729847749,0.9854000884173298,0.957459038235896,0.03763773416316691,2.4040857000498255
853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,320,256,28255,37442,27938,44161,9504,317,0.8505106778087279,0.7399030694668821,0.7461674055873083,0.9887807467704831,0.8229013323395137,0.9058410395549984,0.88011474609375,0.7745100104858761,0.2899975826723194,32.51459918598478
